task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Step #1,2026-03-16T18:46:36,regnet-energy,e67c1ec3-d978-431f-a6fd-95e81ac27e44,0.5101089365780354,2.8176429758597705e-07,5.52109911662676e-07,360.0,80.61294207489969,70.0,5.051185525953769e-05,1.1311120161394683e-05,9.738846076652407e-06,7.156182149758478e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Step #2,2026-03-16T18:46:37,regnet-energy,e67c1ec3-d978-431f-a6fd-95e81ac27e44,0.2505657635629177,1.6463186345334288e-07,6.574659335334685e-07,360.0,172.41849002208926,70.0,2.5036375969648354e-05,1.1991398480404314e-05,4.785031949480375e-06,4.1812806399533044e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Step #3,2026-03-16T18:46:37,regnet-energy,e67c1ec3-d978-431f-a6fd-95e81ac27e44,0.24435599893331528,1.48253642706273e-07,6.067184489071968e-07,360.0,124.74822676860484,70.0,2.447788976132869e-05,8.482506785867372e-06,4.692708571544951e-06,3.765310511874102e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Step #4,2026-03-16T18:46:37,regnet-energy,e67c1ec3-d978-431f-a6fd-95e81ac27e44,0.25822473131120205,1.664078466552832e-07,6.446527570485005e-07,360.0,160.43363440660752,70.0,2.581156194210052e-05,1.1503342538077277e-05,4.948961879644129e-06,4.226386635982195e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Step #5,2026-03-16T18:46:38,regnet-energy,e67c1ec3-d978-431f-a6fd-95e81ac27e44,0.2505943011492491,1.4912679053536364e-07,5.95636436278921e-07,360.0,119.45279392509688,70.0,2.486148308962583e-05,8.249728821851932e-06,4.7636532017754195e-06,3.787486511325317e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Step #6,2026-03-16T18:46:38,regnet-energy,e67c1ec3-d978-431f-a6fd-95e81ac27e44,0.24635481089353561,1.6460361835222433e-07,6.682458648273262e-07,360.0,183.77138500228065,70.0,2.457247525453567e-05,1.2544176698270348e-05,4.688980823589695e-06,4.1805632776395745e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Step #7,2026-03-16T18:46:38,regnet-energy,e67c1ec3-d978-431f-a6fd-95e81ac27e44,0.25304519571363926,1.530287964547594e-07,6.051748954039262e-07,360.0,123.68283426702362,70.0,2.5312922522425656e-05,8.696951404374431e-06,4.856013304864367e-06,3.8865887231664454e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Step #8,2026-03-16T18:46:38,regnet-energy,e67c1ec3-d978-431f-a6fd-95e81ac27e44,0.25833517499268055,1.6866344286881643e-07,6.534679969468337e-07,360.0,168.96714217951498,70.0,2.5793347507715233e-05,1.210667635120899e-05,4.936713425235617e-06,4.283673728415981e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Step #9,2026-03-16T18:46:39,regnet-energy,e67c1ec3-d978-431f-a6fd-95e81ac27e44,0.2520421799272299,1.5180908406776274e-07,6.027497490166897e-07,360.0,126.30045373333878,70.0,2.499327193945645e-05,8.768895906285934e-06,4.7939397549877556e-06,3.855610760073017e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Step #10,2026-03-16T18:46:39,regnet-energy,e67c1ec3-d978-431f-a6fd-95e81ac27e44,0.2440908756107092,1.6390120077775808e-07,6.71994337524464e-07,360.0,185.55080451693325,70.0,2.438692431896923e-05,1.2570010053281067e-05,4.6703000708172754e-06,4.162723444306758e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
