timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz]
2026/03/16 18:26:59.399, 0 %, 2 MiB, 16.22 W, 210 MHz
2026/03/16 18:27:04.401, 0 %, 2 MiB, 15.81 W, 210 MHz
2026/03/16 18:27:09.403, 0 %, 5 MiB, 14.85 W, 210 MHz
2026/03/16 18:27:14.405, 0 %, 2960 MiB, 48.83 W, 2550 MHz
2026/03/16 18:27:19.406, 89 %, 15044 MiB, 201.57 W, 2460 MHz
2026/03/16 18:27:24.409, 94 %, 15044 MiB, 206.10 W, 2700 MHz
2026/03/16 18:27:29.413, 93 %, 15044 MiB, 206.18 W, 2265 MHz
2026/03/16 18:27:34.415, 87 %, 15044 MiB, 204.15 W, 2700 MHz
2026/03/16 18:27:39.416, 92 %, 15044 MiB, 207.22 W, 2280 MHz
2026/03/16 18:27:44.418, 84 %, 15044 MiB, 204.28 W, 2700 MHz
2026/03/16 18:27:49.419, 93 %, 15044 MiB, 208.48 W, 2370 MHz
2026/03/16 18:27:54.422, 80 %, 15044 MiB, 204.63 W, 2430 MHz
2026/03/16 18:27:59.425, 93 %, 15044 MiB, 210.38 W, 2430 MHz
2026/03/16 18:28:04.426, 80 %, 15044 MiB, 204.23 W, 2415 MHz
2026/03/16 18:28:09.427, 93 %, 15044 MiB, 208.40 W, 2355 MHz
2026/03/16 18:28:14.429, 80 %, 15044 MiB, 204.94 W, 2415 MHz
2026/03/16 18:28:19.431, 93 %, 15044 MiB, 209.31 W, 2640 MHz
2026/03/16 18:28:24.439, 80 %, 15044 MiB, 204.74 W, 2445 MHz
2026/03/16 18:28:29.440, 93 %, 15044 MiB, 210.26 W, 2685 MHz
2026/03/16 18:28:34.442, 80 %, 15044 MiB, 205.76 W, 2610 MHz
2026/03/16 18:28:39.443, 92 %, 15044 MiB, 212.02 W, 2685 MHz
2026/03/16 18:28:44.445, 81 %, 15044 MiB, 206.92 W, 2385 MHz
2026/03/16 18:28:49.449, 93 %, 15044 MiB, 210.13 W, 2640 MHz
2026/03/16 18:28:54.451, 80 %, 15044 MiB, 205.79 W, 2430 MHz
2026/03/16 18:28:59.453, 92 %, 15044 MiB, 208.66 W, 2685 MHz
2026/03/16 18:29:04.454, 80 %, 15044 MiB, 205.75 W, 2610 MHz
2026/03/16 18:29:09.457, 93 %, 15044 MiB, 211.69 W, 2685 MHz
2026/03/16 18:29:14.460, 81 %, 15044 MiB, 206.18 W, 2265 MHz
2026/03/16 18:29:19.462, 90 %, 15044 MiB, 212.07 W, 2685 MHz
2026/03/16 18:29:24.463, 82 %, 15044 MiB, 186.22 W, 2250 MHz
2026/03/16 18:29:29.465, 90 %, 15044 MiB, 200.90 W, 2685 MHz
2026/03/16 18:29:34.467, 83 %, 15044 MiB, 205.64 W, 2265 MHz
2026/03/16 18:29:39.471, 89 %, 15044 MiB, 203.27 W, 2685 MHz
2026/03/16 18:29:44.473, 83 %, 15044 MiB, 206.74 W, 2235 MHz
2026/03/16 18:29:49.474, 91 %, 15044 MiB, 186.49 W, 2505 MHz
2026/03/16 18:29:54.475, 81 %, 15044 MiB, 209.31 W, 2250 MHz
2026/03/16 18:29:59.477, 92 %, 15044 MiB, 207.07 W, 2490 MHz
2026/03/16 18:30:04.479, 82 %, 15044 MiB, 209.42 W, 2340 MHz
2026/03/16 18:30:09.485, 91 %, 15044 MiB, 207.42 W, 2415 MHz
2026/03/16 18:30:14.486, 80 %, 15044 MiB, 181.04 W, 2685 MHz
2026/03/16 18:30:19.488, 83 %, 15044 MiB, 206.96 W, 2265 MHz
2026/03/16 18:30:24.489, 89 %, 15044 MiB, 203.43 W, 2490 MHz
2026/03/16 18:30:29.491, 83 %, 15044 MiB, 207.07 W, 2265 MHz
2026/03/16 18:30:34.496, 90 %, 15044 MiB, 203.15 W, 2445 MHz
2026/03/16 18:30:39.497, 46 %, 15044 MiB, 182.45 W, 2250 MHz
2026/03/16 18:30:44.499, 90 %, 15044 MiB, 203.35 W, 2430 MHz
2026/03/16 18:30:49.500, 83 %, 15044 MiB, 206.83 W, 2355 MHz
2026/03/16 18:30:54.502, 90 %, 15044 MiB, 203.23 W, 2430 MHz
2026/03/16 18:30:59.504, 83 %, 15044 MiB, 207.27 W, 2430 MHz
2026/03/16 18:31:04.508, 54 %, 15044 MiB, 182.41 W, 2445 MHz
2026/03/16 18:31:09.510, 83 %, 15044 MiB, 207.37 W, 2430 MHz
2026/03/16 18:31:14.511, 90 %, 15044 MiB, 201.92 W, 2400 MHz
2026/03/16 18:31:19.513, 83 %, 15044 MiB, 206.83 W, 2415 MHz
2026/03/16 18:31:24.515, 90 %, 15044 MiB, 201.43 W, 2415 MHz
2026/03/16 18:31:29.517, 78 %, 15044 MiB, 202.41 W, 2685 MHz
2026/03/16 18:31:34.566, 81 %, 15044 MiB, 206.36 W, 2475 MHz
2026/03/16 18:31:39.567, 90 %, 15044 MiB, 212.65 W, 2685 MHz
2026/03/16 18:31:44.569, 81 %, 15044 MiB, 206.56 W, 2250 MHz
2026/03/16 18:31:49.573, 92 %, 15044 MiB, 207.31 W, 2685 MHz
2026/03/16 18:31:54.575, 78 %, 15044 MiB, 205.07 W, 2685 MHz
2026/03/16 18:31:59.576, 82 %, 15044 MiB, 207.26 W, 2385 MHz
2026/03/16 18:32:04.578, 95 %, 15044 MiB, 210.81 W, 2475 MHz
2026/03/16 18:32:09.580, 83 %, 15044 MiB, 205.82 W, 2400 MHz
2026/03/16 18:32:14.582, 90 %, 15044 MiB, 213.22 W, 2685 MHz
