task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Forward pass #1,2026-03-16T18:32:48,regnet-energy,2420aad3-9a0d-453c-a2f7-3b8dd36b25af,0.34666076488792896,2.0165299903670258e-07,5.82131683164709e-07,360.0,106.96700766526375,70.0,3.439990077167749e-05,1.0221674845212192e-05,6.593770135401024e-06,5.121534575229071e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Backward pass #1,2026-03-16T18:32:49,regnet-energy,2420aad3-9a0d-453c-a2f7-3b8dd36b25af,0.2366210613399744,1.442700916872694e-07,6.101648399551504e-07,360.0,127.95900800525902,70.0,2.369772884994745e-05,8.423617853026144e-06,4.520025668251845e-06,3.664137237122544e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Optimisation step #1,2026-03-16T18:32:49,regnet-energy,2420aad3-9a0d-453c-a2f7-3b8dd36b25af,0.06008058786392212,4.507631501239162e-08,7.521157339940505e-07,360.0,263.1847058563881,70.0,5.9882445260882384e-06,4.3791701678230766e-06,1.080959838711553e-06,1.1448374532622868e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Forward pass #2,2026-03-16T18:32:49,regnet-energy,2420aad3-9a0d-453c-a2f7-3b8dd36b25af,0.12161527760326862,7.149191115101667e-08,5.890118217739321e-07,360.0,112.5514155385783,70.0,1.211852114647627e-05,3.78916969623333e-06,2.249653533928924e-06,1.815734437663853e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Backward pass #2,2026-03-16T18:32:49,regnet-energy,2420aad3-9a0d-453c-a2f7-3b8dd36b25af,0.19165396131575108,1.3454542273409133e-07,7.027800733233179e-07,360.0,230.48516854603292,70.0,1.8672478571534154e-05,1.1955565121013478e-05,3.5434805477658913e-06,3.4171524240313536e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Optimisation step #2,2026-03-16T18:32:49,regnet-energy,2420aad3-9a0d-453c-a2f7-3b8dd36b25af,0.06578002125024796,4.615148711453343e-08,7.027305908753222e-07,360.0,211.0675154425637,70.0,6.6336710005998666e-06,3.890003110740281e-06,1.1977700568321688e-06,1.1721444168172313e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Forward pass #3,2026-03-16T18:32:49,regnet-energy,2420aad3-9a0d-453c-a2f7-3b8dd36b25af,0.12151750735938549,7.213190277013677e-08,5.956249131010488e-07,360.0,118.34714281302587,70.0,1.208860035985708e-05,3.974447626120536e-06,2.2568399293555154e-06,1.831988791533315e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Backward pass #3,2026-03-16T18:32:49,regnet-energy,2420aad3-9a0d-453c-a2f7-3b8dd36b25af,0.19227247312664986,1.3496024310292834e-07,7.024773621132539e-07,360.0,230.1328141260268,70.0,1.8750936724245542e-05,1.1987509587640943e-05,3.53843301224212e-06,3.4276879324128616e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Optimisation step #3,2026-03-16T18:32:49,regnet-energy,2420aad3-9a0d-453c-a2f7-3b8dd36b25af,0.06582197174429893,4.6154434443552896e-08,7.034434048115324e-07,360.0,212.94781396519232,70.0,6.6162988543510485e-06,3.914725358100668e-06,1.1911685112863788e-06,1.1722192723738099e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
Forward pass #4,2026-03-16T18:32:50,regnet-energy,2420aad3-9a0d-453c-a2f7-3b8dd36b25af,0.1220280546694994,7.08697605097452e-08,5.826699662361904e-07,360.0,106.6990445817184,70.0,1.2142307125031956e-05,3.5991695455095396e-06,2.2578553762286887e-06,1.7999332046770195e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,192,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,503.39368057250977,machine,N
